Vertex 497.889 354.371
811.146 228.569 790.256 238.365
790.256 238.365 769.362 248.152
769.362 248.152 747.994 258.147
747.994 258.147 725.702 268.564
725.702 268.564 715.725 273.223
2000 636.007 1987.83 631.787
1987.83 631.787 1902.34 602.152
1902.34 602.152 1820.58 573.807
1820.58 573.807 1742.53 546.75
1742.53 546.75 1668.19 520.975
1668.19 520.975 1597.53 496.479
1597.53 496.479 1530.54 473.256
1530.54 473.256 1467.21 451.297
1467.21 451.297 1407.5 430.595
1407.5 430.595 1351.38 411.138
1351.38 411.138 1298.81 392.912
1298.81 392.912 1249.75 375.9
1249.75 375.9 1204.13 360.08
1204.13 360.08 1161.87 345.425
1161.87 345.425 1122.88 331.9
1122.88 331.9 1087.02 319.461
1087.02 319.461 1054.14 308.053
1054.14 308.053 1024.05 297.609
1024.05 297.609 996.494 288.043
996.494 288.043 971.188 279.252
971.188 279.252 947.776 271.114
947.776 271.114 925.849 263.485
925.849 263.485 904.947 256.206
904.947 256.206 884.568 249.101
884.568 249.101 904.947 256.206
904.947 256.206 884.568 249.101
884.568 249.101 864.193 241.989
864.193 241.989 843.298 234.687
843.298 234.687 821.384 227.022
821.384 227.022 817.407 225.63
1199.97 2000 1199.31 1997.69
1199.31 1997.69 1169.14 1891.65
1169.14 1891.65 1140.06 1789.43
1140.06 1789.43 1112.07 1691.02
1112.07 1691.02 1085.16 1596.43
1085.16 1596.43 1059.33 1505.65
1059.33 1505.65 1034.58 1418.67
1034.58 1418.67 1010.92 1335.49
1010.92 1335.49 988.332 1256.09
988.332 1256.09 966.819 1180.47
966.819 1180.47 946.376 1108.61
946.376 1108.61 926.999 1040.49
926.999 1040.49 908.683 976.106
908.683 976.106 891.421 915.42
891.421 915.42 875.204 858.406
875.204 858.406 860.022 805.025
860.022 805.025 845.86 755.23
845.86 755.23 832.702 708.961
832.702 708.961 820.527 666.14
820.527 666.14 809.307 626.67
809.307 626.67 799.008 590.428
799.008 590.428 789.585 557.258
789.585 557.258 780.983 526.963
780.983 526.963 773.133 499.297
773.133 499.297 765.951 473.961
765.951 473.961 759.335 450.593
759.335 450.593 753.166 428.771
753.166 428.771 747.309 408.013
747.309 408.013 741.618 387.799
741.618 387.799 747.309 408.013
747.309 408.013 741.618 387.799
741.618 387.799 735.938 367.582
735.938 367.582 730.116 346.815
730.116 346.815 724.005 324.976
724.005 324.976 717.471 301.585
717.471 301.585 711.699 280.902
Vertex 571.678 214.242
601.607 78.1737 585.822 89.3497
585.822 89.3497 567.05 102.647
567.05 102.647 549.682 114.959
549.682 114.959 533.292 126.588
533.292 126.588 517.405 137.872
517.405 137.872 533.292 126.588
533.292 126.588 517.405 137.872
517.405 137.872 501.524 149.164
501.524 149.164 485.151 160.818
485.151 160.818 467.813 173.17
467.813 173.17 449.081 186.525
449.081 186.525 443.927 190.201
715.725 273.223 708.413 260.768
708.413 260.768 695.657 239.034
695.657 239.034 684.003 219.169
684.003 219.169 673.223 200.779
673.223 200.779 663.05 183.412
663.05 183.412 653.193 166.566
653.193 166.566 663.05 183.412
663.05 183.412 653.193 166.566
653.193 166.566 643.344 149.717
643.344 149.717 633.193 132.337
633.193 132.337 622.45 113.925
622.45 113.925 610.849 94.0291
610.849 94.0291 601.607 78.1737
711.699 280.902 -nan -nan
711.699 280.902 715.725 273.223
597.917 317.227 603.752 315.378
603.752 315.378 623.525 309.097
623.525 309.097 643.839 302.625
643.839 302.625 665.218 295.796
665.218 295.796 688.142 288.457
688.142 288.457 711.699 280.902
431.955 229.731 444.631 236.441
444.631 236.441 465.862 247.676
465.862 247.676 485.051 257.823
485.051 257.823 502.612 267.101
502.612 267.101 519.039 275.769
519.039 275.769 534.883 284.118
534.883 284.118 519.039 275.769
519.039 275.769 534.883 284.118
534.883 284.118 550.731 292.457
550.731 292.457 567.173 301.097
567.173 301.097 584.759 310.327
584.759 310.327 597.917 317.227
443.927 190.201 -nan -nan
443.927 190.201 441.392 198.562
441.392 198.562 434.615 220.937
434.615 220.937 431.955 229.731
Vertex 734.359 119.096
601.607 78.1737 610.849 94.0291
610.849 94.0291 622.45 113.925
622.45 113.925 633.193 132.337
633.193 132.337 643.344 149.717
643.344 149.717 653.193 166.566
653.193 166.566 643.344 149.717
643.344 149.717 653.193 166.566
653.193 166.566 663.05 183.412
663.05 183.412 673.223 200.779
673.223 200.779 684.003 219.169
684.003 219.169 695.657 239.034
695.657 239.034 708.413 260.768
708.413 260.768 715.725 273.223
601.607 78.1737 -nan -nan
601.607 78.1737 603.983 67.0727
603.983 67.0727 609.045 43.4563
609.045 43.4563 614.328 18.8724
614.328 18.8724 619.924 -7.12372
619.924 -7.12372 625.922 -34.9346
625.922 -34.9346 632.395 -64.9142
632.395 -64.9142 639.409 -97.3672
639.409 -97.3672 647.02 -132.55
647.02 -132.55 655.272 -170.677
655.272 -170.677 664.202 -211.923
664.202 -211.923 673.843 -256.431
673.843 -256.431 684.218 -304.317
684.218 -304.317 695.347 -355.676
695.347 -355.676 707.247 -410.583
707.247 -410.583 719.931 -469.099
719.931 -469.099 733.409 -531.275
733.409 -531.275 747.69 -597.152
747.69 -597.152 762.782 -666.762
762.782 -666.762 778.689 -740.133
778.689 -740.133 795.418 -817.287
795.418 -817.287 812.971 -898.243
812.971 -898.243 831.352 -983.016
831.352 -983.016 850.564 -1071.62
850.564 -1071.62 870.609 -1164.06
870.609 -1164.06 891.49 -1260.36
891.49 -1260.36 913.206 -1360.51
913.206 -1360.51 935.761 -1464.52
935.761 -1464.52 959.156 -1572.4
959.156 -1572.4 983.39 -1684.16
983.39 -1684.16 1008.47 -1799.8
1008.47 -1799.8 1034.38 -1919.31
1034.38 -1919.31 1051.88 -2000
817.407 225.63 818.81 213.316
818.81 213.316 821.417 190.394
821.417 190.394 823.826 169.172
823.826 169.172 826.096 149.129
826.096 149.129 828.291 129.69
828.291 129.69 826.096 149.129
826.096 149.129 828.291 129.69
828.291 129.69 830.481 110.25
830.481 110.25 832.732 90.2044
832.732 90.2044 835.11 68.9787
835.11 68.9787 837.674 46.0523
837.674 46.0523 840.474 20.9738
840.474 20.9738 843.553 -6.63485
843.553 -6.63485 846.946 -37.0809
846.946 -37.0809 850.68 -70.6094
850.68 -70.6094 854.777 -107.412
854.777 -107.412 859.255 -147.64
859.255 -147.64 864.125 -191.407
864.125 -191.407 869.398 -238.804
869.398 -238.804 875.082 -289.9
875.082 -289.9 881.183 -344.749
881.183 -344.749 887.706 -403.394
887.706 -403.394 894.655 -465.867
894.655 -465.867 902.032 -532.195
902.032 -532.195 909.839 -602.399
909.839 -602.399 918.08 -676.495
918.08 -676.495 926.754 -754.497
926.754 -754.497 935.864 -836.416
935.864 -836.416 945.411 -922.26
945.411 -922.26 955.395 -1012.04
955.395 -1012.04 965.817 -1105.75
965.817 -1105.75 976.677 -1203.42
976.677 -1203.42 987.977 -1305.03
987.977 -1305.03 999.716 -1410.59
999.716 -1410.59 1011.89 -1520.1
1011.89 -1520.1 1024.51 -1633.58
1024.51 -1633.58 1037.57 -1751.01
1037.57 -1751.01 1051.07 -1872.41
1051.07 -1872.41 1065.01 -1997.76
1065.01 -1997.76 1065.26 -2000
715.725 273.223 725.702 268.564
725.702 268.564 747.994 258.147
747.994 258.147 769.362 248.152
769.362 248.152 790.256 238.365
790.256 238.365 769.362 248.152
769.362 248.152 790.256 238.365
790.256 238.365 811.146 228.569
811.146 228.569 817.407 225.63
